Input,Augmentation,Train_shape,Model,Test_user,Accuracy,Precision,Recall,F1
X,Reversed,"(907, 383, 14)",CNN,1,0.3,0.31305114638447973,0.3,0.28746828713517586
X,Reversed,"(907, 383, 14)",CNN,2,0.34444444444444444,0.31614053245931806,0.34444444444444444,0.29123139520016844
X,Reversed,"(907, 383, 14)",CNN,3,0.28888888888888886,0.29634962738411014,0.28888888888888886,0.2914943813248898
X,Reversed,"(907, 383, 14)",CNN,4,0.3333333333333333,0.31036682615629985,0.3333333333333333,0.31885369532428354
X,Reversed,"(907, 383, 14)",CNN,5,0.36666666666666664,0.39218205446275617,0.36666666666666664,0.36822106746918776
X,Reversed,"(907, 383, 14)",CNN,6,0.28888888888888886,0.18555555555555556,0.28888888888888886,0.19365079365079363
X,Reversed,"(907, 383, 14)",CNN,7,0.35555555555555557,0.34581105169340465,0.35555555555555557,0.34775641025641024
X,Reversed,"(907, 383, 14)",CNN,8,0.25555555555555554,0.1966183574879227,0.25555555555555554,0.18282828282828284
X,Reversed,"(907, 383, 14)",CNN,9,0.3,0.3015873015873015,0.3,0.28401267841640926
X,Reversed,"(907, 383, 14)",CNN,10,0.3,0.273037391458444,0.3,0.2777503604571274
X,Noise,"(907, 383, 14)",CNN,1,0.3333333333333333,0.19221753398968586,0.3333333333333333,0.20544185681800362
X,Noise,"(907, 383, 14)",CNN,2,0.34444444444444444,0.33047949709355845,0.34444444444444444,0.33424569060115256
X,Noise,"(907, 383, 14)",CNN,3,0.32222222222222224,0.3310511301294712,0.32222222222222224,0.295068133084319
X,Noise,"(907, 383, 14)",CNN,4,0.3333333333333333,0.3278801843317972,0.3333333333333333,0.32897108962682736
X,Noise,"(907, 383, 14)",CNN,5,0.3888888888888889,0.3925733764443442,0.3888888888888889,0.38977795125336107
X,Noise,"(907, 383, 14)",CNN,6,0.36666666666666664,0.38895558223289306,0.36666666666666664,0.3349084844338009
X,Noise,"(907, 383, 14)",CNN,7,0.36666666666666664,0.36366723259762307,0.36666666666666664,0.3569086651053864
X,Noise,"(907, 383, 14)",CNN,8,0.28888888888888886,0.22976190476190478,0.28888888888888886,0.21182957393483706
X,Noise,"(907, 383, 14)",CNN,9,0.32222222222222224,0.3139812446717818,0.32222222222222224,0.2945175438596491
X,Noise,"(907, 383, 14)",CNN,10,0.28888888888888886,0.2848694316436252,0.28888888888888886,0.2852552426322918
