Input,Augmentation,Train_shape,Model,Accuracy,Precision,Recall,F1
X,None,"(576, 383, 14)",CNN,0.37222222222222223,0.3895072217502124,0.37222222222222223,0.35357461178272387
X,Reversed,"(806, 383, 14)",CNN,0.4111111111111111,0.4143801207554214,0.4111111111111111,0.37273750076138396
X,Shuffled,"(806, 383, 14)",CNN,0.37777777777777777,0.37983719093615215,0.37777777777777777,0.3785913630833417
X,Noise,"(806, 383, 14)",CNN,0.4,0.39730142131181717,0.4,0.39254800269942963
X,Ch_drop,"(806, 383, 14)",CNN,0.34444444444444444,0.33994705957392524,0.34444444444444444,0.3405320616513659
X,None,"(576, 383, 14)",LSTM,0.34444444444444444,0.22368647717484924,0.34444444444444444,0.25923984272608125
X,Reversed,"(806, 383, 14)",LSTM,0.31666666666666665,0.31659316780110563,0.31666666666666665,0.316615562742045
X,Shuffled,"(806, 383, 14)",LSTM,0.3611111111111111,0.3600292397660818,0.3611111111111111,0.35343638123949095
X,Noise,"(806, 383, 14)",LSTM,0.2833333333333333,0.28483302838141555,0.2833333333333333,0.28339781746031745
X,Ch_drop,"(806, 383, 14)",LSTM,0.3111111111111111,0.31296751296751296,0.3111111111111111,0.30826210826210826
